vendor_id,vendor_name,vendor_alias,category,contact_email,phone,address,payment_terms,is_active
1,Amazon Web Services Inc.,AWS,Cloud Infrastructure,billing@aws.amazon.com,+1-206-266-1000,"410 Terry Ave N, Seattle, WA 98109",Net 30,true
2,Acme Corp,Acme,Office Supplies,accounts@acmecorp.com,+1-555-0101,"123 Industrial Blvd, Chicago, IL 60601",Net 15,true
3,Globex Corporation,Globex,Professional Services,finance@globex.com,+1-555-0102,"456 Innovation Dr, San Jose, CA 95110",Net 45,true
4,Initech Solutions,Initech,Software & Subscriptions,billing@initech.io,+1-555-0103,"789 Tech Park Way, Austin, TX 78701",Net 30,true
5,Umbrella Insurance Group,Umbrella,Insurance,claims@umbrellaig.com,+1-555-0104,"321 Safety Ave, Hartford, CT 06101",Net 60,true
6,Stark Industries LLC,Stark Industries,Hardware & Equipment,procurement@starkindustries.com,+1-555-0105,"1 Stark Tower, New York, NY 10001",Net 30,true
7,Wayne Enterprises,Wayne Ent,Consulting,invoices@wayneent.com,+1-555-0106,"1007 Mountain Dr, Gotham, NJ 07001",Net 30,true
8,Prestige Worldwide Travel,Prestige Travel,Travel & Entertainment,bookings@prestigeworldwide.com,+1-555-0107,"88 Sunset Blvd, Los Angeles, CA 90028",Net 15,true
9,Hooli Inc.,Hooli,Cloud Infrastructure,accounts@hooli.com,+1-555-0108,"1 Hooli Way, Palo Alto, CA 94301",Net 30,true
10,Pied Piper Inc.,Pied Piper,Software & Subscriptions,billing@piedpiper.com,+1-555-0109,"5230 Newell Rd, Palo Alto, CA 94303",Net 30,true
11,Dunder Mifflin Paper Co.,Dunder Mifflin,Office Supplies,accounting@dundermifflin.com,+1-555-0110,"1725 Slough Ave, Scranton, PA 18503",Net 15,true
12,Sterling Cooper Partners,Sterling Cooper,Marketing & Advertising,billing@sterlingcooper.com,+1-555-0111,"405 Madison Ave, New York, NY 10022",Net 45,true
