transaction_id,transaction_date,posted_date,vendor_id,vendor_name,amount,currency,transaction_type,account_code,category,description,reference_number,payment_method
1,2026-01-05,2026-01-06,1,Amazon Web Services Inc.,4250.00,USD,debit,5200,Software & Subscriptions,AWS EC2 and S3 monthly usage - January,INV-AWS-2026-001,ACH
2,2026-01-08,2026-01-09,4,Initech Solutions,1200.00,USD,debit,5200,Software & Subscriptions,Annual Jira license renewal,INV-INIT-2026-001,Wire
3,2026-01-10,2026-01-10,2,Acme Corp,387.50,USD,debit,5300,Office & Facilities,Office supplies - printer paper and toner,PO-ACME-2026-001,Credit Card
4,2026-01-15,2026-01-16,11,Dunder Mifflin Paper Co.,215.00,USD,debit,5300,Office & Facilities,Premium copy paper - 20 cases,PO-DM-2026-001,Credit Card
5,2026-01-18,2026-01-19,8,Prestige Worldwide Travel,3420.00,USD,debit,5400,Travel & Entertainment,Q1 client visit flights - NYC,TRV-PW-2026-001,Credit Card
6,2026-01-22,2026-01-23,5,Umbrella Insurance Group,2800.00,USD,debit,5700,Insurance,Quarterly business liability insurance,INV-UIG-2026-001,ACH
7,2026-01-25,2026-01-25,7,Wayne Enterprises,8500.00,USD,debit,5500,Professional Services,Strategic consulting - January retainer,INV-WE-2026-001,Wire
8,2026-01-28,2026-01-29,12,Sterling Cooper Partners,5600.00,USD,debit,5600,Marketing & Advertising,Q1 brand campaign - phase 1,INV-SC-2026-001,Wire
9,2026-02-01,2026-02-02,1,Amazon Web Services Inc.,4780.00,USD,debit,5200,Software & Subscriptions,AWS monthly usage - February (increased compute),INV-AWS-2026-002,ACH
10,2026-02-03,2026-02-04,9,Hooli Inc.,3200.00,USD,debit,5200,Software & Subscriptions,Hooli Cloud storage and CDN - February,INV-HOOLI-2026-001,ACH
11,2026-02-07,2026-02-08,3,Globex Corporation,12000.00,USD,debit,5500,Professional Services,SOC2 compliance audit - phase 1,INV-GLOBEX-2026-001,Wire
12,2026-02-10,2026-02-11,6,Stark Industries LLC,6750.00,USD,debit,5300,Office & Facilities,Server rack hardware upgrade,PO-STARK-2026-001,Wire
13,2026-02-14,2026-02-14,2,Acme Corp,142.30,USD,debit,5300,Office & Facilities,Office supplies - misc stationery,PO-ACME-2026-002,Credit Card
14,2026-02-18,2026-02-19,10,Pied Piper Inc.,890.00,USD,debit,5200,Software & Subscriptions,Data compression SaaS - monthly,INV-PP-2026-001,ACH
15,2026-02-22,2026-02-23,7,Wayne Enterprises,8500.00,USD,debit,5500,Professional Services,Strategic consulting - February retainer,INV-WE-2026-002,Wire
