payout_id,vendor_id,vendor_name,payout_date,amount,currency,payment_method,bank_reference,invoice_number,status,notes
1,1,Amazon Web Services Inc.,2026-01-20,4250.00,USD,ACH,BNK-ACH-20260120-001,INV-AWS-2026-001,completed,January cloud usage payment
2,4,Initech Solutions,2026-01-25,1200.00,USD,Wire,BNK-WIR-20260125-001,INV-INIT-2026-001,completed,Annual Jira license
3,2,Acme Corp,2026-01-22,387.50,USD,Credit Card,CC-20260122-001,PO-ACME-2026-001,completed,Office supplies
4,7,Wayne Enterprises,2026-02-05,8500.00,USD,Wire,BNK-WIR-20260205-001,INV-WE-2026-001,completed,January consulting retainer
5,5,Umbrella Insurance Group,2026-02-10,2800.00,USD,ACH,BNK-ACH-20260210-001,INV-UIG-2026-001,completed,Q1 insurance premium
6,12,Sterling Cooper Partners,2026-02-12,5600.00,USD,Wire,BNK-WIR-20260212-001,INV-SC-2026-001,completed,Q1 campaign phase 1
7,1,Amazon Web Services Inc.,2026-02-18,4780.00,USD,ACH,BNK-ACH-20260218-001,INV-AWS-2026-002,completed,February cloud usage
8,9,Hooli Inc.,2026-02-20,3200.00,USD,ACH,BNK-ACH-20260220-001,INV-HOOLI-2026-001,completed,February storage and CDN
9,3,Globex Corporation,2026-02-28,12000.00,USD,Wire,BNK-WIR-20260228-001,INV-GLOBEX-2026-001,completed,SOC2 audit phase 1
10,6,Stark Industries LLC,2026-02-25,6750.00,USD,Wire,BNK-WIR-20260225-001,PO-STARK-2026-001,completed,Server rack upgrade
11,7,Wayne Enterprises,2026-03-05,8500.00,USD,Wire,BNK-WIR-20260305-001,INV-WE-2026-002,completed,February consulting
12,12,Sterling Cooper Partners,2026-03-10,5600.00,USD,Wire,BNK-WIR-20260310-001,INV-SC-2026-002,completed,Q1 campaign phase 2
13,1,Amazon Web Services Inc.,2026-03-18,5120.00,USD,ACH,BNK-ACH-20260318-001,INV-AWS-2026-003,completed,March cloud usage
14,3,Globex Corporation,2026-03-30,12000.00,USD,Wire,BNK-WIR-20260330-001,INV-GLOBEX-2026-002,completed,SOC2 audit phase 2
15,5,Umbrella Insurance Group,2026-04-05,2800.00,USD,ACH,BNK-ACH-20260405-001,INV-UIG-2026-002,completed,Q1 insurance
16,7,Wayne Enterprises,2026-04-08,8500.00,USD,Wire,BNK-WIR-20260408-001,INV-WE-2026-003,completed,March consulting
17,9,Hooli Inc.,2026-04-10,3200.00,USD,ACH,BNK-ACH-20260410-001,INV-HOOLI-2026-002,completed,March storage
18,1,Amazon Web Services Inc.,2026-04-20,4950.00,USD,ACH,BNK-ACH-20260420-001,INV-AWS-2026-004,completed,April cloud usage
19,12,Sterling Cooper Partners,2026-04-22,7200.00,USD,Wire,BNK-WIR-20260422-001,INV-SC-2026-003,completed,Q2 digital marketing
20,6,Stark Industries LLC,2026-04-30,18400.00,USD,Wire,BNK-WIR-20260430-001,PO-STARK-2026-002,completed,Emergency server replacement
21,3,Globex Corporation,2026-05-05,4500.00,USD,Wire,BNK-WIR-20260505-001,INV-GLOBEX-2026-003,completed,Penetration testing
22,7,Wayne Enterprises,2026-05-08,8500.00,USD,Wire,BNK-WIR-20260508-001,INV-WE-2026-004,completed,April consulting
23,1,Amazon Web Services Inc.,2026-05-20,4680.00,USD,ACH,BNK-ACH-20260520-001,INV-AWS-2026-005,completed,May cloud usage
24,8,Prestige Worldwide Travel,2026-05-15,2780.00,USD,Credit Card,CC-20260515-001,TRV-PW-2026-003,completed,FinTech Summit
25,5,Umbrella Insurance Group,2026-05-25,950.00,USD,ACH,BNK-ACH-20260525-001,INV-UIG-2026-003,completed,Cyber insurance rider
26,12,Sterling Cooper Partners,2026-05-28,5600.00,USD,Wire,BNK-WIR-20260528-001,INV-SC-2026-004,completed,Q2 social media campaign
27,7,Wayne Enterprises,2026-06-05,8500.00,USD,Wire,BNK-WIR-20260605-001,INV-WE-2026-005,pending,May consulting - payment pending
28,1,Amazon Web Services Inc.,2026-06-18,5340.00,USD,ACH,BNK-ACH-20260618-001,INV-AWS-2026-006,completed,June cloud usage
29,9,Hooli Inc.,2026-06-20,3450.00,USD,ACH,BNK-ACH-20260620-001,INV-HOOLI-2026-003,pending,April storage - late payment
30,8,Prestige Worldwide Travel,2026-06-25,4150.00,USD,Credit Card,CC-20260625-001,TRV-PW-2026-004,failed,Team retreat - card declined
